Quais são os produtos disponíveis?;produtos
Vocês têm [nome do produto]?;produtos
Qual o preço de [nome do produto]?;produtos
Quais as formas de pagamento?;produtos
Como faço para comprar?;produtos
Tem alguma promoção?;produtos
Gostaria de um orçamento;produtos
Quais as opções de frete?;produtos
Qual o tempo de entrega?;produtos
Vocês trabalham com [marca]?;produtos
Gostaria de saber mais sobre [produto];produtos
Quais as características de [produto]?;produtos
Para que serve [produto]?;produtos
Como usar [produto]?;produtos
Quais os benefícios de [produto]?;produtos
[Produto] é bom?;produtos
[Produto] é confiável?;produtos
O que você me diz sobre [produto]?;produtos
Recomendam [produto]?;produtos
Qual o melhor [produto] para [finalidade]?;produtos
Estou procurando um [produto] que [característica];produtos
Vocês têm algum [produto] similar a [produto]?;produtos
Qual a diferença entre [produto] e [produto]?;produtos
Qual o [produto] mais vendido?;produtos
Quais os lançamentos de produtos?;produtos
Vocês têm kits promocionais?;produtos
Gostaria de um desconto em [produto];produtos
Como posso pagar parcelado?;produtos
Vocês aceitam [forma de pagamento]?;produtos
Posso pagar com [forma de pagamento] na entrega?;produtos
Como funciona a política de troca de produtos?;produtos
Posso trocar um produto por outro?;produtos
Em quanto tempo posso trocar um produto?;produtos
Quais os produtos que vocês não trabalham?;produtos
Vocês vendem [produto] por atacado?;produtos
Qual o valor mínimo para compra no atacado?;produtos
Vocês têm um catálogo de produtos?;produtos
Onde posso encontrar o catálogo de produtos?;produtos
Gostaria de receber o catálogo de produtos;produtos
Vocês têm loja física?;produtos
Qual o endereço da loja física?;produtos
Qual o horário de funcionamento da loja física?;produtos
Vocês entregam em todo o Brasil?;produtos
Qual o valor do frete para [local]?;produtos
Como posso calcular o frete?;produtos
Posso retirar o produto na loja?;produtos
Em quanto tempo o produto fica disponível para retirada?;produtos
Vocês têm algum canal de atendimento para dúvidas sobre produtos?;produtos
Como posso entrar em contato com o atendimento para falar sobre produtos?;produtos
